,sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,c_charge_degree,is_recid,is_violent_recid,type_of_assessment,score_text,v_type_of_assessment,v_decile_score,start,end,event,two_year_recid
0,Male,69,Greater than 45,Other,0,1,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,327,0,No
1,Male,34,25 - 45,African-American,0,3,0,0,0,1.0,F,1,1,Risk of Recidivism,Low,Risk of Violence,1,9,159,1,Yes
2,Male,23,Less than 25,African-American,0,8,1,0,1,1.0,F,0,0,Risk of Recidivism,High,Risk of Violence,6,0,1174,0,No
3,Male,43,25 - 45,Other,0,1,0,0,2,76.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,1102,0,No
4,Male,44,25 - 45,Other,0,1,0,0,0,0.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,1,853,0,No
5,Male,43,25 - 45,Other,0,4,0,0,3,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,3,0,265,0,No
6,Female,39,25 - 45,Caucasian,0,1,0,0,0,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,2,747,0,No
7,Male,21,Less than 25,Caucasian,0,3,0,0,1,308.0,F,1,1,Risk of Recidivism,Low,Risk of Violence,5,0,428,1,Yes
8,Male,27,25 - 45,Caucasian,0,4,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,4,0,857,0,No
9,Female,37,25 - 45,Caucasian,0,1,0,0,0,0.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,1,1186,0,No
10,Male,41,25 - 45,African-American,0,4,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,905,0,No
11,Male,37,25 - 45,Hispanic,0,1,0,0,0,0.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,739,0,No
12,Male,25,25 - 45,African-American,0,10,0,0,3,1.0,F,0,0,Risk of Recidivism,High,Risk of Violence,9,0,463,0,No
13,Male,31,25 - 45,Caucasian,0,5,0,0,6,1.0,F,1,1,Risk of Recidivism,Medium,Risk of Violence,4,0,241,1,Yes
14,Female,21,Less than 25,Caucasian,0,4,0,0,0,2.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,5,0,861,0,No
15,Male,43,25 - 45,Caucasian,0,1,0,0,1,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,1162,0,No
16,Male,32,25 - 45,Other,0,3,0,0,0,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,4,1,1056,0,No
17,Male,27,25 - 45,African-American,0,3,0,0,8,1.0,F,1,1,Risk of Recidivism,Low,Risk of Violence,3,16,116,0,Yes
18,Female,36,25 - 45,Caucasian,0,3,0,0,3,95.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,53,0,No
19,Male,33,25 - 45,African-American,0,10,0,0,0,1.0,F,1,1,Risk of Recidivism,High,Risk of Violence,6,38,215,0,Yes
20,Male,55,Greater than 45,Caucasian,0,1,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,1,823,0,No
21,Male,26,25 - 45,Caucasian,0,8,0,2,6,382.0,M,0,0,Risk of Recidivism,High,Risk of Violence,8,0,81,0,No
